#  E (eV)   dos(E)     Int dos(E)
 -3.566  0.7209E+00  0.8150E+00
 -3.556  0.7277E+00  0.8222E+00
 -3.546  0.7346E+00  0.8296E+00
 -3.536  0.7417E+00  0.8370E+00
 -3.526  0.7489E+00  0.8445E+00
 -3.516  0.7563E+00  0.8520E+00
 -3.506  0.7638E+00  0.8597E+00
 -3.496  0.7736E+00  0.8674E+00
 -3.486  0.8223E+00  0.8756E+00
 -3.476  0.8463E+00  0.8841E+00
 -3.466  0.8606E+00  0.8927E+00
 -3.456  0.8735E+00  0.9014E+00
 -3.446  0.8848E+00  0.9103E+00
 -3.436  0.8946E+00  0.9192E+00
 -3.426  0.9029E+00  0.9283E+00
 -3.416  0.9097E+00  0.9374E+00
 -3.406  0.9151E+00  0.9465E+00
 -3.396  0.9182E+00  0.9557E+00
 -3.386  0.9153E+00  0.9649E+00
 -3.376  0.9055E+00  0.9739E+00
 -3.366  0.8886E+00  0.9828E+00
 -3.356  0.8815E+00  0.9916E+00
 -3.346  0.8788E+00  0.1000E+01
 -3.336  0.8763E+00  0.1009E+01
 -3.326  0.8739E+00  0.1018E+01
 -3.316  0.8716E+00  0.1027E+01
 -3.306  0.8694E+00  0.1035E+01
 -3.296  0.8673E+00  0.1044E+01
 -3.286  0.8653E+00  0.1053E+01
 -3.276  0.8635E+00  0.1061E+01
 -3.266  0.8617E+00  0.1070E+01
 -3.256  0.8601E+00  0.1078E+01
 -3.246  0.8586E+00  0.1087E+01
 -3.236  0.8572E+00  0.1096E+01
 -3.226  0.8557E+00  0.1104E+01
 -3.216  0.8541E+00  0.1113E+01
 -3.206  0.8524E+00  0.1121E+01
 -3.196  0.8506E+00  0.1130E+01
 -3.186  0.8488E+00  0.1138E+01
 -3.176  0.8468E+00  0.1147E+01
 -3.166  0.8448E+00  0.1155E+01
 -3.156  0.8401E+00  0.1164E+01
 -3.146  0.8319E+00  0.1172E+01
 -3.136  0.8268E+00  0.1180E+01
 -3.126  0.8249E+00  0.1188E+01
 -3.116  0.8240E+00  0.1197E+01
 -3.106  0.8227E+00  0.1205E+01
 -3.096  0.8209E+00  0.1213E+01
 -3.086  0.8187E+00  0.1221E+01
 -3.076  0.8161E+00  0.1229E+01
 -3.066  0.8131E+00  0.1238E+01
 -3.056  0.8116E+00  0.1246E+01
 -3.046  0.8122E+00  0.1254E+01
 -3.036  0.8148E+00  0.1262E+01
 -3.026  0.8194E+00  0.1270E+01
 -3.016  0.8211E+00  0.1278E+01
 -3.006  0.8157E+00  0.1287E+01
 -2.996  0.8091E+00  0.1295E+01
